Date,Open,High,Low,Close,Volume,Adj Close
2011-02-01,27.80,28.34,26.43,26.58,61355100,23.93
2011-01-03,28.05,29.46,27.42,27.73,71314300,24.82
2010-12-01,25.57,28.40,25.56,27.91,48111900,24.98
2010-11-01,26.88,28.87,24.93,25.26,68402700,22.61
2010-10-01,24.77,27.20,23.78,26.67,66458300,23.72
2010-09-01,23.67,25.53,23.54,24.49,63542900,21.78
2010-08-02,25.99,26.38,23.32,23.47,61156600,20.88
2010-07-01,23.09,26.41,22.73,25.81,71053500,22.84
2010-06-01,25.53,26.93,22.95,23.01,79675500,20.36
2010-05-03,30.67,31.06,24.56,25.80,89381300,22.83
2010-04-01,29.35,31.58,28.62,30.54,65821100,26.90
2010-03-01,28.77,30.57,28.24,29.29,51043300,25.80
2010-02-01,28.39,29.03,27.57,28.67,58684900,25.25
2010-01-04,30.62,31.24,27.66,28.18,81765200,24.71
2009-12-01,29.52,31.50,29.25,30.48,43297000,26.72
2009-11-02,27.70,30.14,27.41,29.41,53121400,25.78
2009-10-01,25.41,29.35,24.43,27.73,72581900,24.20
2009-09-01,24.35,26.25,23.76,25.72,52500600,22.45
2009-08-03,23.82,25.49,23.03,24.65,49659200,21.52
2009-07-01,24.05,25.72,22.00,23.52,71441700,20.42
2009-06-01,21.00,24.34,20.86,23.77,67163500,20.63
2009-05-01,20.19,20.94,19.01,20.89,57362800,18.13
2009-04-01,18.23,21.20,18.18,20.26,78563800,17.47
2009-03-02,15.96,18.88,14.87,18.37,78098900,15.84
2009-02-02,17.03,19.93,16.10,16.15,81560000,13.93
2009-01-02,19.53,21.00,16.75,17.10,81320700,14.65
2008-12-01,19.88,21.25,18.47,19.44,72425500,16.65
2008-11-03,22.48,23.66,17.50,20.22,95976900,17.32
2008-10-01,26.38,27.47,20.65,22.33,136418800,19.00
2008-09-02,27.67,27.76,23.50,26.69,96891900,22.71
2008-08-01,25.92,28.50,25.07,27.29,59889700,23.22
2008-07-01,27.27,27.91,24.87,25.72,77180100,21.80
2008-06-02,28.24,29.57,27.11,27.51,77060400,23.31
2008-05-01,28.50,30.53,27.95,28.32,69931800,24.00
2008-04-01,28.83,32.10,27.93,28.52,69066000,24.08
2008-03-03,27.24,29.59,26.87,28.38,74958500,23.96
2008-02-01,31.06,33.25,27.02,27.20,122099600,22.97
2008-01-02,35.79,35.96,31.04,32.60,97806800,27.42
2007-12-03,33.50,36.72,32.63,35.60,55002300,29.94
2007-11-01,36.53,37.50,32.68,33.60,90565400,28.26
2007-10-01,29.46,37.00,29.29,36.81,85117900,30.86
2007-09-04,28.50,29.85,28.27,29.46,61223000,24.70
2007-08-01,28.95,30.10,27.51,28.73,55264800,24.09
2007-07-02,29.67,31.84,28.95,28.99,64862000,24.22
2007-06-01,30.79,30.90,29.04,29.47,59647900,24.62
2007-05-01,29.94,31.16,29.90,30.69,64202000,25.64
2007-04-02,27.89,30.74,27.56,29.94,51337600,24.93
2007-03-01,27.82,28.55,26.60,27.87,59843900,23.21
2007-02-01,30.84,30.94,27.79,28.17,72483300,23.46
2007-01-03,29.91,31.48,29.40,30.86,69924300,25.61
2006-12-01,29.23,30.26,28.80,29.86,58945000,24.78
2006-11-01,28.78,30.00,28.58,29.36,61544700,24.36
2006-10-02,27.32,28.85,27.15,28.71,61492200,23.74
2006-09-01,25.89,27.52,25.39,27.35,56588300,22.62
2006-08-01,24.02,26.25,23.85,25.70,50459500,21.25
2006-07-03,23.53,24.60,22.23,24.06,68627600,19.83
2006-06-01,22.74,23.65,21.46,23.30,92940200,19.20
2006-05-01,24.32,25.00,22.45,22.65,110427000,18.66
2006-04-03,27.67,27.94,24.00,24.15,107219900,19.82
2006-03-01,26.98,28.22,26.62,27.21,65223100,22.33
2006-02-01,27.96,28.07,26.34,26.87,58565000,22.05
2006-01-03,26.25,28.38,26.10,28.15,74173200,23.03
2005-12-01,27.73,28.10,26.10,26.15,62892300,21.39
2005-11-01,25.61,28.25,25.61,27.68,71469100,22.64
2005-10-03,25.71,25.80,24.25,25.70,72132400,20.96
2005-09-01,27.38,27.39,25.12,25.73,66976400,20.99
2005-08-01,25.81,27.94,25.76,27.38,65529900,22.33
2005-07-01,24.85,26.48,24.50,25.61,69046600,20.83
2005-06-01,25.73,26.00,24.82,24.84,62956700,20.20
2005-05-02,25.23,26.09,24.64,25.80,62699700,20.98
2005-04-01,24.24,25.45,23.94,25.30,77090200,20.51
2005-03-01,25.19,25.79,23.82,24.17,72899700,19.59
2005-02-01,26.25,26.50,25.13,25.16,75992300,20.40
2005-01-03,26.80,27.10,25.64,26.28,79642800,21.24
2004-12-01,26.95,27.44,26.68,26.72,84488000,21.59
2004-11-01,28.16,30.20,26.10,26.81,86446000,21.67
2004-10-01,27.82,28.89,27.55,27.97,65742900,20.28
2004-09-01,27.23,27.79,26.74,27.65,57725200,20.05
2004-08-02,28.27,28.55,26.85,27.30,52104600,19.80
2004-07-01,28.70,29.89,27.25,28.49,76666600,20.60
2004-06-01,26.13,28.80,25.86,28.56,77068200,20.65
2004-05-03,26.19,26.60,25.42,26.23,58942400,18.96
2004-04-01,24.95,27.72,24.85,26.13,77386600,18.89
2004-03-01,26.63,26.72,24.01,24.93,77111900,18.02
2004-02-02,27.61,27.80,26.35,26.53,57385900,19.18
2004-01-02,27.58,28.83,27.26,27.65,63635800,19.99
